# Traversal Log - Task 3: Recursive Dependency Traversal
# Generated: 2026-01-17
# Format: SOURCE_FILE -> TARGET_FILE (RELATIONSHIP_TYPE)

## Tier 0 -> Tier 1 Traversals
### From src/main.tsx (Entry Point)
src/main.tsx -> src/components/ErrorBoundary.tsx (direct import)
src/main.tsx -> src/services/dataManager (direct import)
src/main.tsx -> src/App.tsx (direct import)
src/main.tsx -> src/utils/errors.ts (direct import)
src/main.tsx -> src/index.css (static asset)

### From src/App.tsx (Entry Point)
src/App.tsx -> src/contexts/TermsContext.tsx (direct import)
src/App.tsx -> src/contexts/HistoryContext.tsx (direct import)
src/App.tsx -> src/components/MainApp.tsx (direct import)
src/App.tsx -> src/components/ErrorBoundary.tsx (direct import)
src/App.tsx -> src/stores/subtitleStore.ts (direct import)
src/App.tsx -> src/index.css (static asset)

### From src/components/MainApp.tsx (Entry Point)
src/components/MainApp.tsx -> src/components/FileUpload.tsx (direct import)
src/components/MainApp.tsx -> src/components/BatchFileUpload.tsx (direct import)
src/components/MainApp.tsx -> src/components/SubtitleFileList.tsx (direct import)
src/components/MainApp.tsx -> src/components/TranslationControls.tsx (direct import)
src/components/MainApp.tsx -> src/components/SubtitleEditor.tsx (direct import)
src/components/MainApp.tsx -> src/components/ProgressDisplay.tsx (direct import)
src/components/MainApp.tsx -> src/components/SettingsModal.tsx (direct import)
src/components/MainApp.tsx -> src/components/TermsManager.tsx (direct import)
src/components/MainApp.tsx -> src/components/HistoryModal.tsx (direct import)
src/components/MainApp.tsx -> src/components/HelpButton.tsx (direct import)
src/components/MainApp.tsx -> src/components/GuideModal.tsx (direct import)
src/components/MainApp.tsx -> src/stores/subtitleStore.ts (direct import)
src/components/MainApp.tsx -> src/stores/translationConfigStore.ts (direct import)
src/components/MainApp.tsx -> src/contexts/HistoryContext.tsx (direct import)
src/components/MainApp.tsx -> src/contexts/TermsContext.tsx (direct import)
src/components/MainApp.tsx -> src/types/index.ts (direct import)
src/components/MainApp.tsx -> src/services/dataManager (direct import)
src/components/MainApp.tsx -> src/hooks/useErrorHandler.ts (direct import)

### From src/contexts/TermsContext.tsx (Entry Point)
src/contexts/TermsContext.tsx -> src/types/index.ts (direct import)
src/contexts/TermsContext.tsx -> src/services/dataManager (direct import)
src/contexts/TermsContext.tsx -> src/hooks/useErrorHandler.ts (direct import)

### From src/contexts/HistoryContext.tsx (Entry Point)
src/contexts/HistoryContext.tsx -> src/types/index.ts (direct import)
src/contexts/HistoryContext.tsx -> src/services/dataManager (direct import)
src/contexts/HistoryContext.tsx -> src/hooks/useErrorHandler.ts (direct import)

